member_name,model_name,dataset_name,composite_score,fidelity,utility,diversity,privacy,consistency,stability
aditya,ctgan,adult,0.3936,0.591,0.0,0.3391,0.9951,0.1326,0.9885
aditya,ctgan,bank,0.7384,0.8116,0.673,0.8716,0.9644,0.2492,0.8635
aditya,ctgan,car,0.6012,0.6749,0.6395,0.8428,0.4544,0.0789,0.9665
aditya,ctgan,card,0.4738,0.7575,0.0,0.8817,0.9961,0.0,0.9375
aditya,ctgan,covtype,0.3178,0.3836,0.0,0.2398,1.0,0.0,0.959
arpit,cwgangp,adult,0.7248,0.7313,0.6726,0.5784,0.9828,0.5289,0.9675
arpit,cwgangp,bank,0.7787,0.7461,0.8757,0.5832,0.925,0.3941,0.983
arpit,cwgangp,car,0.5662,0.4633,0.7677,0.4797,0.5768,0.0043,0.9375
arpit,cwgangp,card,0.6687,0.8937,0.8464,0.667,0.0,0.3333,0.98
arpit,cwgangp,covtype,0.6673,0.9584,0.6057,0.5468,0.0,0.5126,0.9965
arpit,pacgan,adult,0.7403,0.7396,0.6889,0.6832,0.9742,0.5245,0.9485
arpit,pacgan,bank,0.8,0.7396,0.8722,0.6,0.9362,0.5528,0.9816
arpit,pacgan,car,0.5971,0.4569,0.7783,0.4395,0.7738,0.019,0.9786
arpit,pacgan,card,0.6647,0.9612,0.8264,0.6742,0.0008,0.3333,0.9898
arpit,pacgan,covtype,0.5328,0.7805,0.5238,0.6269,0.2,0.4245,0.9875
hudson,codi,adult,0.8612,0.9112,0.9737,0.8981,0.6601,0.548,0.9805
hudson,codi,bank,0.8784,0.9331,0.9718,0.8968,0.7059,0.6081,0.972
hudson,codi,car,0.7404,0.8817,0.8029,0.9836,0.439,0.2567,0.981
hudson,codi,card,0.9363,0.9424,1.0,0.9169,0.9829,0.6239,0.984
hudson,codi,covtype,0.787,0.7911,0.7099,0.9012,0.9989,0.5118,0.9935
hudson,ctabganplus,adult,0.8432,0.9336,0.9006,0.9115,0.8387,0.2806,0.9915
hudson,ctabganplus,bank,0.8873,0.9676,0.9099,0.9864,0.8564,0.506,0.9845
hudson,ctabganplus,car,0.6626,0.6714,0.7866,0.8849,0.4515,0.1466,0.972
hudson,ctabganplus,card,0.5619,0.9693,0.0,0.9159,0.9932,0.2981,0.983
hudson,ctabganplus,covtype,0.759,0.9806,0.6554,0.6552,0.9271,0.2995,0.998
hudson,ctgan,adult,0.6758,0.5492,0.8305,0.3257,0.9938,0.1795,0.9655
hudson,ctgan,bank,0.6402,0.8079,0.4213,0.8051,0.9735,0.1852,0.9135
hudson,ctgan,car,0.6565,0.8693,0.5356,0.9738,0.479,0.3333,0.984
hudson,ctgan,card,0.4079,0.5884,0.0,0.655,0.999,0.0,0.9095
hudson,ctgan,covtype,0.3381,0.4536,0.0,0.2917,0.9999,0.0,0.91
hudson,cwgangp,adult,0.7732,0.7247,0.7817,0.6864,0.9857,0.5451,0.948
hudson,cwgangp,bank,0.8131,0.7533,0.891,0.6509,0.9431,0.5902,0.9475
hudson,cwgangp,car,0.5975,0.4568,0.7792,0.4395,0.7718,0.019,0.979
hudson,cwgangp,card,0.8151,0.9013,0.8307,0.6742,0.9928,0.3333,0.9865
hudson,cwgangp,covtype,0.7636,0.9619,0.6177,0.5598,0.9959,0.5186,0.9945
hudson,flowvae,adult,0.7971,0.89,0.9167,0.7239,0.6514,0.3441,0.985
hudson,flowvae,bank,0.8332,0.924,0.9495,0.7767,0.6856,0.3952,0.997
hudson,flowvae,car,0.3978,0.7221,0.0,0.9233,0.4125,0.1472,0.967
hudson,flowvae,card,0.9059,0.9821,0.9849,0.7518,0.9093,0.5563,0.9685
hudson,flowvae,covtype,0.8855,0.9863,0.8846,0.9497,0.8702,0.5464,0.9835
hudson,medgan,adult,0.5066,0.8777,0.0,0.7745,0.7668,0.4695,0.956
hudson,medgan,bank,0.8636,0.9188,0.8963,0.8853,0.7715,0.6691,0.981
hudson,medgan,car,0.7494,0.8631,0.7948,0.976,0.4626,0.4031,0.9635
hudson,medgan,card,0.5537,0.9735,0.0,0.8304,0.965,0.3371,0.976
hudson,medgan,covtype,0.7098,0.9607,0.6129,0.5882,0.6313,0.5191,0.994
hudson,meg,adult,0.5534,0.633,0.535,0.3956,0.9157,0.0,0.62
hudson,meg,bank,0.6984,0.6413,0.8326,0.512,0.9763,0.1328,0.7145
hudson,meg,car,0.6115,0.7643,0.5559,0.8771,0.6102,0.3589,0.2155
hudson,meg,card,0.4492,0.398,0.5442,0.0916,1.0,0.0005,0.0
hudson,meg,covtype,0.3884,0.3729,0.2395,0.3676,1.0,0.0287,0.434
hudson,pategan,adult,0.7691,0.8077,0.7646,0.6875,0.986,0.3333,0.992
hudson,pategan,bank,0.8507,0.8415,0.8716,0.8929,0.9441,0.5559,0.9755
hudson,pategan,car,0.6064,0.8571,0.52,0.9216,0.4226,0.0664,0.958
hudson,pategan,card,0.5217,0.8571,0.0,0.754,0.9935,0.3333,0.994
hudson,pategan,covtype,0.7991,0.9807,0.6796,0.6483,0.9303,0.6187,0.9955
hudson,tvaegan,adult,0.8091,0.8658,0.8935,0.6198,0.7343,0.591,0.973
hudson,tvaegan,bank,0.875,0.9227,0.8968,0.8441,0.8958,0.6317,0.97
hudson,tvaegan,car,0.6836,0.7272,0.7954,0.926,0.4554,0.1389,0.973
hudson,tvaegan,card,0.5432,0.953,0.0,0.7337,0.9905,0.3347,0.991
hudson,tvaegan,covtype,0.8517,0.984,0.8023,0.6486,0.9708,0.6455,0.9975
Jay,cwgangp,adult,0.7291,0.7022,0.7109,0.558,0.9859,0.5348,0.957
Jay,cwgangp,bank,0.7769,0.7391,0.8616,0.5738,0.9549,0.4074,0.984
Jay,cwgangp,car,0.566,0.4633,0.7673,0.4797,0.8755,0.0043,0.9375
Jay,cwgangp,card,0.6686,0.8937,0.8461,0.667,0.0,0.3333,0.98
Jay,cwgangp,covtype,0.6045,0.9584,0.598,0.5467,0.0,0.512,0.6045
Jay,flowvae,adult,0.7854,0.8885,0.9052,0.7096,0.6422,0.3037,0.9778
Jay,flowvae,bank,0.8333,0.9242,0.9468,0.7718,0.6856,0.4205,0.984
Jay,flowvae,car,0.3923,0.7173,0.0,0.9287,0.4177,0.0916,0.965
Jay,flowvae,card,0.5554,0.9828,0.0,0.747,0.9014,0.5078,0.9805
Jay,flowvae,covtype,0.4443,0.6,0.8781,0.9435,0.6,0.4546,0.0008
Jay,pacgan,adult,0.7632,0.7258,0.7579,0.6687,0.9858,0.5451,0.9515
Jay,pacgan,bank,0.813,0.7536,0.8893,0.651,0.9434,0.5932,0.9483
Jay,pacgan,car,0.5971,0.4569,0.7783,0.4395,0.7718,0.019,0.978
Jay,pacgan,card,0.6309,0.9013,0.8254,0.6742,0.0,0.0,0.986
Jay,pacgan,covtype,0.6067,0.8827,0.6219,0.6718,0.0,0.521,0.9825
